"country_iso_3","country_name","rGDP_full_ch_sigma4","rGDP_full_ch_sigma5","rGDP_full_ch_sigma7","rGDP_full_ch_sigma10"
"DZA","Algeria",893.13,293.97,62.78,33.17
"AGO","Angola",1194.91,368.31,69.75,36.5
"BEN","Benin",907.43,306.57,63.31,32.9
"BWA","Botswana",1532.6,453.71,111.83,62.28
"BFA","Burkina Faso",852.62,291.16,57.15,29.11
"BDI","Burundi",1163.58,380.7,75.44,38.1
"CMR","Cameroon",877.2,296.07,62.08,30.73
"CPV","Cape Verde",1044.09,349.6,65.1,30.41
"CAF","Central African Republic",1193.71,393.19,79.6,40.44
"TCD","Chad",1130.21,375.19,75.81,38.42
"COM","Comoros",886.14,294.47,53.13,25.5
"CIV","Côte d’Ivoire",702.45,242.75,46.68,22.19
"COD","Democratic Republic of the Congo",1692.82,508.65,108.6,57.9
"DJI","Djibouti",691.69,236.17,39.65,18.16
"EGY","Egypt",594.66,201.1,32.16,13.68
"GNQ","Equatorial Guinea",1025.93,342.31,69.73,35.11
"SWZ","Eswatini",1502.66,445.62,111.53,62.44
"ETH","Ethiopia",880.95,294.31,54.91,26.67
"GAB","Gabon",999.59,334.11,66.38,33.69
"GMB","Gambia",1030.1,343.39,70.43,35.34
"GHA","Ghana",655.87,225.18,40.82,18.64
"GIN","Guinea",853.35,290.81,56.93,28.69
"GNB","Guinea-Bissau",1070.93,358.25,70.28,34.41
"KEN","Kenya",645.43,217.29,33.64,14.9
"LSO","Lesotho",1751.77,509.57,131,72.86
"LBR","Liberia",744.13,250.84,44.89,21.18
"LBY","Libya",1194.97,384.49,87.93,48.48
"MDG","Madagascar",1356.21,413.63,89.51,47.59
"MWI","Malawi",1692.73,500.81,102.94,54.85
"MLI","Mali",838.37,285.93,54.62,27.38
"MRT","Mauritania",1017.21,340.7,68.2,34.27
"MUS","Mauritius",995.57,312.1,61.73,31.94
"MAR","Morocco",691.04,232.03,45.58,21.63
"MOZ","Mozambique",1610.6,475.88,104.53,57.42
"NAM","Namibia",1487.42,443.6,105.75,58.04
"NER","Niger",1056.45,354.26,73.64,38.24
"NGA","Nigeria",753.39,253.08,44.18,20.73
"COG","Republic of the Congo",849.88,286.04,52.42,25.71
"RWA","Rwanda",1098.52,358.17,72.27,36.7
"SEN","Senegal",708.58,242.84,42.66,20.23
"SYC","Seychelles",1020.24,321.41,62.19,31.88
"SLE","Sierra Leone",1026.75,341.95,69.17,34.55
"SOM","Somalia",1128.23,370.85,75.24,37.85
"ZAF","South Africa",680.9,212.73,27.71,10.98
"SSD","South Sudan",1251.51,407.29,84.92,43.37
"SDN","Sudan",1395.78,443.53,105.95,57.66
"STP","São Tomé and Príncipe",1127.94,372.88,72.51,35.72
"TZA","Tanzania",1347.45,409.97,87.13,47.07
"TGO","Togo",848.29,286.62,56.99,29.25
"TUN","Tunisia",806.95,269.56,54.52,28.01
"UGA","Uganda",1003.95,331.27,66.12,33.59
"ZMB","Zambia",1355.55,407.76,86.9,47.43
"ZWE","Zimbabwe",1544.78,456.64,108.2,59.48
"ROW","Rest of World",18.8,4.03,0.02,0
